Operator,Sharing,#Operations,#Threads,Time (ms),Communication (Bytes),Total ANDs,Total Rounds
0,YAO,1,4,35.244,886879,27599,3
0,BOOL,1,4,94.943,995998,27599,355
0,YAO,10,4,116.128,8853488,275990,3
0,BOOL,10,4,240.464,9070613,275990,355
0,YAO,100,4,753.786,88523233,2759900,3
0,BOOL,100,4,454.51,89797660,2759900,355
0,YAO,1000,4,7676.25,885230125,27599000,3
0,BOOL,1000,4,3569.26,897094074,27599000,355
0,YAO,10000,4,74784.2,8852297983,275990000,3
0,BOOL,10000,4,34856.7,8970041654,275990000,355
1,YAO,1,4,55.698,1495463,46521,3
1,BOOL,1,4,173.75,1677566,46521,587
1,YAO,10,4,170.628,14949655,465210,3
1,BOOL,10,4,281.391,15285049,465210,587
1,YAO,100,4,1225.12,149484159,4652100,3
1,BOOL,100,4,696.297,151362634,4652100,587
1,YAO,1000,4,12399.8,1494839412,46521000,3
1,BOOL,1000,4,5731.69,1512143282,46521000,587
1,YAO,10000,4,124013,14948390242,465210000,3
1,BOOL,10000,4,55357.4,15119984358,465210000,587
1,YAO,1,4,56.659,1495463,46521,3
1,BOOL,1,4,161.984,1677550,46521,587
1,YAO,10,4,174.602,14949655,465210,3
1,BOOL,10,4,229.208,15285062,465210,587
1,YAO,100,4,1189.42,149484167,4652100,3
1,BOOL,100,4,782.253,151362642,4652100,587
1,YAO,1000,4,11923.1,1494839412,46521000,3
1,BOOL,1000,4,5801.21,1512143282,46521000,587
1,YAO,10000,4,125753,14948390242,465210000,3
1,BOOL,10000,4,55950.5,15119984350,465210000,587
