Operator,Variant,#Operations,#Threads,Time (ms),Communication (Bytes),Total Rounds
ADD,Standard,1,4,118.515,569987,0
ADD,Standard,10,4,115.169,2294550,175
ADD,Standard,100,4,102.126,2834956,175
ADD,Standard,1000,4,135.067,10763460,175
ADD,Standard,10000,4,523.83,113695276,175
ADD,Standard,100000,4,3916.77,1093717792,177
MUL,Standard,1,4,48.33,288299,0
MUL,Standard,10,4,46.722,1154914,91
MUL,Standard,100,4,48.275,1263068,91
MUL,Standard,1000,4,45.919,3088712,91
MUL,Standard,10000,4,129.486,32064384,91
MUL,Standard,100000,4,714.062,318128016,91
DIV,Standard,1,4,115.438,780924,0
DIV,Standard,10,4,119.612,3136219,249
DIV,Standard,100,4,127.202,3907848,249
DIV,Standard,1000,4,222.118,14274520,249
DIV,Standard,10000,4,444.95,152282988,249
DIV,Standard,100000,4,3036.57,1473913768,249
GT,Standard,1,4,20.701,94886,0
GT,Standard,10,4,17.433,379546,33
GT,Standard,100,4,20.486,387752,33
GT,Standard,1000,4,20.155,923368,33
GT,Standard,10000,4,80.257,11377376,33
GT,Standard,100000,4,297.665,87414832,33
SINPI,Standard,1,4,440.858,2440234,0
SINPI,Standard,10,4,391.759,9803927,767
SINPI,Standard,100,4,381.175,11664120,767
SINPI,Standard,1000,4,508.229,40783284,767
SINPI,Standard,10000,4,1612.44,433773264,767
SINPI,Standard,100000,4,11383.6,4175396880,767
COSPI,Standard,1,4,622.176,3464312,0
COSPI,Standard,10,4,524.473,13919770,1081
COSPI,Standard,100,4,595.415,16320728,1081
COSPI,Standard,1000,4,636.861,54955628,1081
COSPI,Standard,10000,4,2016.87,583221772,1081
COSPI,Standard,100000,4,14522.5,5640723240,1081
TANPI,Standard,1,4,669.45,3528119,0
TANPI,Standard,10,4,535.23,14179501,1111
TANPI,Standard,100,4,579.62,16994676,1111
TANPI,Standard,1000,4,675.35,61952644,1111
TANPI,Standard,10000,4,2139.35,665960592,1111
TANPI,Standard,100000,4,15598.5,6342674856,1111
LOG2,Standard,1,4,472.918,2615138,0
LOG2,Standard,10,4,425.374,10523028,807
LOG2,Standard,100,4,453.687,12917808,807
LOG2,Standard,1000,4,571.085,48972768,807
LOG2,Standard,10000,4,2025.76,527117032,807
LOG2,Standard,100000,4,15274.6,5002445656,809
EXP2,Standard,1,4,315.811,1828463,0
EXP2,Standard,10,4,304.202,7362942,577
EXP2,Standard,100,4,344.615,9208860,577
EXP2,Standard,1000,4,402.911,35978768,577
EXP2,Standard,10000,4,1493.31,381272488,577
EXP2,Standard,100000,4,11183.3,3663996096,579
ADD,Standard,1,4,113.876,569987,0
ADD,Standard,10,4,101.941,2294550,175
ADD,Standard,100,4,112.973,2834956,175
ADD,Standard,1000,4,133.164,10763460,175
ADD,Standard,10000,4,513.683,113695276,175
ADD,Standard,100000,4,4008.87,1093717792,177
MUL,Standard,1,4,53.815,288299,0
MUL,Standard,10,4,61.917,1154914,91
MUL,Standard,100,4,47.525,1263068,91
MUL,Standard,1000,4,50.694,3088712,91
MUL,Standard,10000,4,139.742,32064384,91
MUL,Standard,100000,4,703.906,318128016,91
DIV,Standard,1,4,117.167,780924,0
DIV,Standard,10,4,114.658,3136219,249
DIV,Standard,100,4,116.632,3907848,249
DIV,Standard,1000,4,143.481,14274520,249
DIV,Standard,10000,4,480.675,152282988,249
DIV,Standard,100000,4,2942.32,1473913768,249
GT,Standard,1,4,20.581,94886,0
GT,Standard,10,4,37.893,379546,33
GT,Standard,100,4,31.147,387752,33
