Operator,#Operations,Time (s),Communication (MB)
ADD,1,0.295051,25.3863
ADD,10,0.367842,47.189
ADD,100,0.503925,350.828
ADD,1000,3.63134,2693.81
ADD,10000,36.0496,26226.9
MUL,1,0.31525,37.8962
MUL,10,0.338552,37.8983
MUL,100,0.322866,151.645
MUL,1000,0.379264,176.758
MUL,10000,1.36222,744.641
MUL,100000,10.2764,6642.19
DIV,1,0.333569,40.1014
DIV,10,0.521635,207.072
DIV,100,1.51277,408.241
DIV,1000,11.3295,2618
DIV,10000,113.245,25217.8
CMP,1,0.170796,10.6474
CMP,10,0.128691,10.653
CMP,100,0.138192,42.6866
CMP,1000,0.223766,117.578
CMP,10000,1.23855,917.921
CMP,100000,12.8548,9063.08
